Department_Name	Shift_Date	Shift_Type	Staff_Category	Staff_Subclass	Total_Assigned_Staff
Δερματολογικό Τμήμα	2026-01-05	Morning	Doctor	Παιδίατρος	1
Δερματολογικό Τμήμα	2026-01-05	Morning	Nurse	Assistant	3
Δερματολογικό Τμήμα	2026-01-05	Morning	Nurse	Head	2
Δερματολογικό Τμήμα	2026-01-05	Morning	Nurse	Nurse	7
Δερματολογικό Τμήμα	2026-01-05	Evening	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-05	Evening	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-05	Evening	Doctor	Παθολόγος	3
Δερματολογικό Τμήμα	2026-01-05	Evening	Nurse	Assistant	2
Δερματολογικό Τμήμα	2026-01-05	Evening	Nurse	Head	1
Δερματολογικό Τμήμα	2026-01-05	Evening	Nurse	Nurse	12
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Doctor	Δερματολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Doctor	Ψυχίατρος	1
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Nurse	Assistant	2
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-01	Morning	Nurse	Nurse	8
Ενδοκρινολογικό Τμήμα	2026-01-01	Evening	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-01	Evening	Doctor	Νευρολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-01	Evening	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-01	Evening	Nurse	Assistant	3
Ενδοκρινολογικό Τμήμα	2026-01-01	Evening	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-01	Evening	Nurse	Nurse	4
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Doctor	Δερματολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Doctor	Ψυχίατρος	1
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Nurse	Assistant	2
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-02	Morning	Nurse	Nurse	8
Ενδοκρινολογικό Τμήμα	2026-01-02	Evening	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-02	Evening	Doctor	Νευρολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-02	Evening	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-02	Evening	Nurse	Assistant	3
Ενδοκρινολογικό Τμήμα	2026-01-02	Evening	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-02	Evening	Nurse	Nurse	4
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Doctor	Δερματολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Doctor	Ψυχίατρος	1
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Nurse	Assistant	2
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-03	Morning	Nurse	Nurse	8
Ενδοκρινολογικό Τμήμα	2026-01-03	Evening	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-03	Evening	Doctor	Νευρολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-03	Evening	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-03	Evening	Nurse	Assistant	3
Ενδοκρινολογικό Τμήμα	2026-01-03	Evening	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-03	Evening	Nurse	Nurse	4
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Doctor	Δερματολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Doctor	Ψυχίατρος	1
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Nurse	Assistant	2
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-04	Morning	Nurse	Nurse	8
Ενδοκρινολογικό Τμήμα	2026-01-04	Evening	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-04	Evening	Doctor	Νευρολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-04	Evening	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-04	Evening	Nurse	Assistant	3
Ενδοκρινολογικό Τμήμα	2026-01-04	Evening	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-04	Evening	Nurse	Nurse	4
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Doctor	Δερματολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Doctor	Ψυχίατρος	1
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Nurse	Assistant	2
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-05	Morning	Nurse	Nurse	8
Ενδοκρινολογικό Τμήμα	2026-01-05	Evening	Admin	Βοηθός Βάρδιας	2
Ενδοκρινολογικό Τμήμα	2026-01-05	Evening	Doctor	Νευρολόγος	1
Ενδοκρινολογικό Τμήμα	2026-01-05	Evening	Doctor	Παθολόγος	3
Ενδοκρινολογικό Τμήμα	2026-01-05	Evening	Nurse	Assistant	3
Ενδοκρινολογικό Τμήμα	2026-01-05	Evening	Nurse	Head	2
Ενδοκρινολογικό Τμήμα	2026-01-05	Evening	Nurse	Nurse	4
Καρδιολογικό Τμήμα	2026-01-01	Morning	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-01	Morning	Doctor	Δερματολόγος	1
Καρδιολογικό Τμήμα	2026-01-01	Morning	Doctor	Νευρολόγος	1
Καρδιολογικό Τμήμα	2026-01-01	Morning	Doctor	Ουρολόγος	1
Καρδιολογικό Τμήμα	2026-01-01	Morning	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-01	Morning	Nurse	Assistant	2
Καρδιολογικό Τμήμα	2026-01-01	Morning	Nurse	Head	1
Καρδιολογικό Τμήμα	2026-01-01	Morning	Nurse	Nurse	10
Καρδιολογικό Τμήμα	2026-01-01	Evening	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-01	Evening	Admin	Τεχνικός Υποστήριξης IT	1
Καρδιολογικό Τμήμα	2026-01-01	Evening	Doctor	Καρδιολόγος	1
Καρδιολογικό Τμήμα	2026-01-01	Evening	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-01	Evening	Doctor	Χειρουργός	1
Καρδιολογικό Τμήμα	2026-01-01	Evening	Nurse	Assistant	1
Καρδιολογικό Τμήμα	2026-01-01	Evening	Nurse	Head	2
Καρδιολογικό Τμήμα	2026-01-01	Evening	Nurse	Nurse	15
Καρδιολογικό Τμήμα	2026-01-02	Morning	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-02	Morning	Doctor	Δερματολόγος	1
Καρδιολογικό Τμήμα	2026-01-02	Morning	Doctor	Νευρολόγος	1
Καρδιολογικό Τμήμα	2026-01-02	Morning	Doctor	Ουρολόγος	1
Καρδιολογικό Τμήμα	2026-01-02	Morning	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-02	Morning	Nurse	Assistant	2
Καρδιολογικό Τμήμα	2026-01-02	Morning	Nurse	Head	1
Καρδιολογικό Τμήμα	2026-01-02	Morning	Nurse	Nurse	10
Καρδιολογικό Τμήμα	2026-01-02	Evening	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-02	Evening	Admin	Τεχνικός Υποστήριξης IT	1
Καρδιολογικό Τμήμα	2026-01-02	Evening	Doctor	Καρδιολόγος	1
Καρδιολογικό Τμήμα	2026-01-02	Evening	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-02	Evening	Doctor	Χειρουργός	1
Καρδιολογικό Τμήμα	2026-01-02	Evening	Nurse	Assistant	1
Καρδιολογικό Τμήμα	2026-01-02	Evening	Nurse	Head	2
Καρδιολογικό Τμήμα	2026-01-02	Evening	Nurse	Nurse	15
Καρδιολογικό Τμήμα	2026-01-03	Morning	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-03	Morning	Doctor	Δερματολόγος	1
Καρδιολογικό Τμήμα	2026-01-03	Morning	Doctor	Νευρολόγος	1
Καρδιολογικό Τμήμα	2026-01-03	Morning	Doctor	Ουρολόγος	1
Καρδιολογικό Τμήμα	2026-01-03	Morning	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-03	Morning	Nurse	Assistant	2
Καρδιολογικό Τμήμα	2026-01-03	Morning	Nurse	Head	1
Καρδιολογικό Τμήμα	2026-01-03	Morning	Nurse	Nurse	10
Καρδιολογικό Τμήμα	2026-01-03	Evening	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-03	Evening	Admin	Τεχνικός Υποστήριξης IT	1
Καρδιολογικό Τμήμα	2026-01-03	Evening	Doctor	Καρδιολόγος	1
Καρδιολογικό Τμήμα	2026-01-03	Evening	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-03	Evening	Doctor	Χειρουργός	1
Καρδιολογικό Τμήμα	2026-01-03	Evening	Nurse	Assistant	1
Καρδιολογικό Τμήμα	2026-01-03	Evening	Nurse	Head	2
Καρδιολογικό Τμήμα	2026-01-03	Evening	Nurse	Nurse	15
Καρδιολογικό Τμήμα	2026-01-04	Morning	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-04	Morning	Doctor	Δερματολόγος	1
Καρδιολογικό Τμήμα	2026-01-04	Morning	Doctor	Νευρολόγος	1
Καρδιολογικό Τμήμα	2026-01-04	Morning	Doctor	Ουρολόγος	1
Καρδιολογικό Τμήμα	2026-01-04	Morning	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-04	Morning	Nurse	Assistant	2
Καρδιολογικό Τμήμα	2026-01-04	Morning	Nurse	Head	1
Καρδιολογικό Τμήμα	2026-01-04	Morning	Nurse	Nurse	10
Καρδιολογικό Τμήμα	2026-01-04	Evening	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-04	Evening	Admin	Τεχνικός Υποστήριξης IT	1
Καρδιολογικό Τμήμα	2026-01-04	Evening	Doctor	Καρδιολόγος	1
Καρδιολογικό Τμήμα	2026-01-04	Evening	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-04	Evening	Doctor	Χειρουργός	1
Καρδιολογικό Τμήμα	2026-01-04	Evening	Nurse	Assistant	1
Καρδιολογικό Τμήμα	2026-01-04	Evening	Nurse	Head	2
Καρδιολογικό Τμήμα	2026-01-04	Evening	Nurse	Nurse	15
Καρδιολογικό Τμήμα	2026-01-05	Morning	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-05	Morning	Doctor	Δερματολόγος	1
Καρδιολογικό Τμήμα	2026-01-05	Morning	Doctor	Νευρολόγος	1
Καρδιολογικό Τμήμα	2026-01-05	Morning	Doctor	Ουρολόγος	1
Καρδιολογικό Τμήμα	2026-01-05	Morning	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-05	Morning	Nurse	Assistant	2
Καρδιολογικό Τμήμα	2026-01-05	Morning	Nurse	Head	1
Καρδιολογικό Τμήμα	2026-01-05	Morning	Nurse	Nurse	10
Καρδιολογικό Τμήμα	2026-01-05	Evening	Admin	Βοηθός Βάρδιας	2
Καρδιολογικό Τμήμα	2026-01-05	Evening	Admin	Τεχνικός Υποστήριξης IT	1
Καρδιολογικό Τμήμα	2026-01-05	Evening	Doctor	Καρδιολόγος	1
Καρδιολογικό Τμήμα	2026-01-05	Evening	Doctor	Παθολόγος	3
Καρδιολογικό Τμήμα	2026-01-05	Evening	Doctor	Χειρουργός	1
Καρδιολογικό Τμήμα	2026-01-05	Evening	Nurse	Assistant	1
Καρδιολογικό Τμήμα	2026-01-05	Evening	Nurse	Head	2
Καρδιολογικό Τμήμα	2026-01-05	Evening	Nurse	Nurse	15
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Admin	Βοηθός Βάρδιας	2
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Admin	Γραμματεία ΜΕΘ	1
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Doctor	Νευρολόγος	1
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Doctor	Παθολόγος	3
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Doctor	Παιδίατρος	1
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Doctor	Χειρουργός	1
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Nurse	Head	2
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Morning	Nurse	Nurse	9
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Admin	Βοηθός Βάρδιας	2
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Doctor	Γυναικολόγος	1
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Doctor	Παθολόγος	3
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Doctor	Χειρουργός	1
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Nurse	Assistant	2
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Nurse	Head	4
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-01	Evening	Nurse	Nurse	5
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-02	Morning	Admin	Βοηθός Βάρδιας	2
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2026-01-02	Morning	Admin	Γραμματεία ΜΕΘ	1
