substance_name	allergic_patients_count	medications_count
Glycyphagus Domesticus Extract	0	1
Perindopril Tert-Butylamine, Indapamide, Rosuvastatin	0	5
Sildenafil Citrate	0	92
Disodium Phosphate Dihydrate, Sodium Dihydrogen Phosphate Dihydrate, Potassium Chloride, Sodium Chloride, Sodium Lactate	0	2
Liquid Extract Of Iceland Moss, Saponaria Officinalis Root, Pimpinella Root, Eucalyptus Leaf, Fennel Bitter Fruit (1:1:1:1:1) and 1 Part Of star An...	0	2
Benzylpenicillin Procaine Monohydrate	0	1
Iris Versicolor D3, Acidum Arsenicosum D6, Atropinum Sulfuricum D6, Myristica Fragrans D3, Strychnos Nux-Vomica D6, Asa Foetida D3	0	1
Pyridoxine Hydrochloride	0	30
Teduglutide	0	6
Abiraterone Acetate	0	174
Erythromycin, Isotretinoin	0	1
Metoclopramide Hydrochloride Monohydrate, Lysine Aspirin	0	2
Captopril, Hydrochlorothiazide	0	23
Venlafaxine	0	163
Anhydrous Caffeine, Paracetamol Dc, Paracetamol Ph. Eur., Codeine Phosphate Ph.Eur.	0	1
Gelsemium Sempervirens Dil. D4, Apis Mellifica Dil. D6, Iris Versicolor Dil. D4, Atropa Bella-Donna Dil. D6, Strychnos Nux-Vomica Dil. D12, Ammi Vi...	0	1
Pantothenate Sodium, Riboflavin Sodium Phosphate, Cyanocobalamin, Nicotinamide, Pyridoxine Hydrochloride, Phospholipids From Soya Beans	0	1
Clofazimine	0	1
Dextromethorphan Hydrobromide, Pseudoephedrine Hydrochloride, Paracetamol	0	20
Levomenthol, Camphor, Racemic, Methyl Salicylate	0	2
Baptisia Tinctoria, Echinacea Purpurea, Thuja Occidentalis	0	1
Hypericum Perforatum L. Dry Methanolic Extract (80% V/V)	0	1
Pressed Juice From Fresh Radish (1 : 0,56 - 0,70)	0	1
Strychnos Nux-Vomica Dil. D4, Syzygium Cumini Mother Tincture, Eichhornia Crassipes Dil. D2, Okoubaka Aubrevillei Dil. D2, Taraxacum Officinale Dil...	0	1
Egg White Extract	0	2
Menthae Piperitae Folium, Fennel Fruit Sweet, Sennae Folium, Liquorice Root, Millefolii Herba	0	1
Calcium Fluoride	0	1
Tyrothricin	0	9
Ambra Grisea Dil. D 6, Ginkgo Biloba Dil. D 4, Panax Ginseng Urt,, Anamirta Cocculus Dil. D4	0	1
Fluspirilene	0	1
Oculus Totalis Suis D10, Oculus Totalis Suis D200, Oculus Totalis Suis D30	0	1
Chrome Alum	0	2
Daphne Mezereum Dil. D 6, Plumbum Aceticum Dil. D6, Gelsemium Dil. D4, Cocculus Dil.D4, Lachesis Dil. D12, Aconitum Dil. D4, Citrullus Colocynthis ...	0	1
Lachesis Dil. D12, Grindelia Robusta Dil. D4, Naja Naja Dil. D12	0	1
Atomoxetine Hydrochloride	0	27
Human Papillomavirus Type 31 L1 Protein - Adsorbed - In The Form Of Virus-Like Particles Produced In Yeast Cells (Saccharomyces Cerevisiae Canade 3...	0	1
Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Algeldrate, Poliovirus Type 1, Inactivated, Strai...	0	1
Soft Extract From Saw Palmetto Fruit (9-12:1), Extraction Solvent: Ethanol 96% V/V	0	4
Dry Extract Of Hawthorn Leaf And Flower (4.5-5.5: 1), Extraction Solvent: Ethanol 70% (V / V), Weißdornblätter-Pulver, Weißdornfrüchte-Pulver	0	1
Magnesium, Pyridoxine Hydrochloride	0	8
Bryonia C3, Rumex Crispus C6, Euspongia Officinalis C3, Lobaria Pulmonaria C3, Kalium Stibyltartaricum C6, Myocardium C6, Dactylopius Coccus C3, Pu...	0	1
Rubidium Chloride Rb-82	0	1
Tisagenlecleucel	0	1
Alendronate Sodium	0	11
Fennel, Bitter, Tiliae Flos, Verbasci Flos, Iceland Moss, Lamium Album, Thyme, Polygoni Avicularis Herba, Primula Veris Flower	0	1
Neomycin Sulfate, Hydrocortisone, Natamycin	0	1
Chelidonium Majus L. Herba	0	1
Arnica, Planta Tota Rh Dil. D10, Cor Bovis Dil. D10	0	1
Crataegus D1, Digitalis Purpurea D6, Selenicereus Grandiflorus D2, Strophanthus Gratus D6	0	1
Hamamelis Dil. D1, Ruta Dil. D2, Achillea Millefolium Dil D 2, Aesculus Dil. D2	0	1
Phleum Pratense (225)	0	6
Sodium Chloride Bp	0	1
Doxylamine Hydrogen Succinate, Paracetamol Bp, Anhydrous Caffeine, Codeine Phosphate Bp	0	1
Lupuli Flos, Melissa Leaf, Potato Starch, Silica, Colloidal Anhydrous, Valerianae Radix, Motherwort	0	1
Betula Pendula Pollen Extract	0	1
Kalium Bromatum D4, Acidum Phosphoricum D4, Sepia Officinalis D4, Strychnos Ignatii D4, Zincum Isovalerianicum D4	0	3
Refined And Quantified Dry Extract From Vaccinium Macrocarpon Fruit Juice (20-35:1), Corresponding To 36 Mg (34.2-37.8 Mg) Of Proanthocyanidins Exp...	0	2
Thiamine Hydrochloride Bp	0	1
Acidum Benzoicum Trit. D 3,, Acidum Silicicum Trit. D3, Ammonium Phosphoricum Trit. D 2, Colchicum Autumnale Trit. D 4, Kalium Iodatum Trit. D4, Li...	0	1
Ethionamide	0	1
Momelotinib	0	1
Castor Oil, Perú Balsam, Soluble Fraction	0	1
Viscum Album Mother Tincture, Ginkgo Biloba, Crataegus Mother Tincture	0	1
Apis Regina Tota Gl Dil. D16 (Hab, Vs. 41c), Truncus Cerebri Bovis Gl Dil. D7 (Hab, Vs. 41a)	0	1
Glucosamine Sulfate	0	20
Patisiran	0	1
Codeine-Poly(Styrene-Divinylbenzene)-Sulfonate, Phenyltoloxamine-Poly(Styrene-Divinylbenzene)-Sulfonate	0	1
Dimeticone	0	6
Lidocaine, Zinc Oxide, Bismuth Subnitrate	0	2
Benzalkonium Chloride, Chlorhexidine Gluconate	0	2
Indometacin, Troxerutin	0	2
Prunus Spinosa E Floribus W 5% (Hab, Vs. 12g Mit Nativem Olivenöl)	0	1
Tabacum D6, Ammonium Carbonicum D4, Hydrocyanicum Acidum D6, Camphora D4, Veratrum Album D4, Carbo Vegetabilis D30	0	1
Eplerenone	0	125
Metamizole Sodium Monohydrate, Paracetamol, Phenobarbital, Caffeine, Codeine Phosphate	0	1
Calendulae Anthodium Extractum (0,09 : 1)	0	1
Valerianae Radix Pulverata	0	5
Ammonium Iodatum Dil. D4, Grindelia Robusta Dil. D3, Hyoscyamus Niger Dil. D6, Kalium Stibyltartaricum Dil. D6, Stibium Sulfuratum Aurantiacum Dil....	0	1
Fucus Vesiculosus L. (Talos)	0	3
Oxcarbazepine	0	37
Ciprofibrate	0	9
Dexamethasone Acetate, Clotrimazole	0	1
Ledipasvir, Sofosbuvir	0	1
Avatrombopag Maleate	0	1
Hydrocortisone Sodium Phosphate	0	14
Potassium Hydrogen Carbonate, Citric Acid Anhydrous, Potassium Citrate	0	1
Standardized Dry Extract Of Aesculus Hippocastanum Seed (5-8:1) Corresponding To 40-50mg Of Triterpene Glycosides, Expressed As Protoaescigenin, Ex...	0	1
Dydrogesterone, Estradiol Hemihydrate	0	5
Mebrofenin Sodium	0	1
Calcifediol Monohydrate	0	21
Sarsaparilla D3 Trit., Cantharis D4 Trit., Scilla D4 Trit.	0	1
Trifluoperazine	0	5
Althaea Officinalis L. Radix	0	1
Flavoxate, Propyphenazone	0	1
Nitrofurantoin Ph. Eur.	0	2
Chlormidazole Hydrochloride, Salicylic Acid	0	1
Cyclamen Purpurascens Trit. D 3, Cimicifuga Racemosa Trit D2, Gelsemium Sempervirens Trit. D2, Iris Versicolor Trit. D2, Spigelia Anthelmia Trit. D2	0	3
Ascorbic Acid, Calcium Pantothenate, Cyanocobalamin, Nicotinamide, Riboflavin, Thiamine Nitrate, Pyridoxine Hydrochloride	0	1
Hepatitis A Virus (Inactivated ) Adsorbed On Aluminium Hydroxide Hydrated Produced On Human Diploid (Mrc-5) Cells, Algeldrate	0	7
Piperazine	0	1
Sodium Hydrogen Carbonate, Sodium Chloride	0	3
Dry Extract From Horse-Chestnut (5-10:1), Extraction Solvent: Methanol 80% V/V	0	1
Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Acetate Trihydrate, Poly (0 2 Hydroxyethyl)...	0	1
Bisphenol A-Glycidyl Methacrylate	0	1
Rhus Toxicodendron Dil. D5, Spigelia Anthelmia Dil. D4, Citrullus Colocynthis Dil. D4	0	1
Tilia Tomentosa Bud, Glycerol Macerate, D1	0	1
Adalimumab	0	11
Extract From Fresh Hawthorn Inflorescence (1: 1), Extraction Solvent: Ethanol 96% (V/V)	0	1
Nanocolloidal Human Albumin	0	2
Cerebrolysin Concentrate	0	6
Zinc Orotate Dihydrate	0	2
Argipressin Monoacetate	0	1
Conium Maculatum D12, Magnesium Chloratum D10, Manganum Sulfuricum D10, Hydrastis Canadensis Dil. D12, Chelidonium Majus D6, Berberis Vulgaris Dil. D4	0	1
Gonadorelin Acetate	0	4
Peru Balsam, Camphor, Eucalyptus Oil, Rosemary Oil	0	1
Silicea D6	0	1
Disperse Orange 3	0	1
Liquid Extract With Sugar (1:1) From 0,3 G Picea Abies Herb (4:1), Liquid Extract With Sugar (1:1) From 0,7 G Ribwort Plantain (4:1), Petasites Hyb...	0	1
Berberis Vulgaris Dil. D6, Colchicum Autumnale Dil. D6	0	1
Iron(Iii)-Hydroxide Dextran Complex	0	4
Pyrogallol	0	1
Tenofovir Alafenamide	0	1
Aceclofenac	0	49
Eschscholtzia Extract, Magnesium Oxide, Crataegus Leaf And Flower Dry Extract	0	1
Metronidazole	0	150
Caraway Fruit, Rhamnus Frangula L. Cortex, Menthae Piperitae Folium, Taraxacum Officinale Root, Milk Thistle Dry Extract, Refined And Standardised ...	0	1
Veratrum Album Dil. D30, Kalium Phosphoricum Dil. D30, Atropa Bella-Donna Dil. D30, Natrium Chloratum Dil. D30, Hypophysis Suis Dil. D30, Natrium S...	0	1
Aniracetam	0	2
Gelsemium Sempervirens Dil. D5, Anamirta Cocculus Dil. D4	0	1
Paracetamol, Acetylsalicylic Acid	0	5
Clopamide, Reserpine, Dihydroergocristine Mesilate	0	1
Diazepam, Octatropine Methylbromide	0	1
Levomenthol, D-Camphor, Eucalyptus Oil, Pumilio Pine Oil	0	1
Baryta Muriatica D12, Arnica Montana D6, Nitroglycerinum D6, Conium Maculatum D6, Phosphorus D12	0	2
Hypromellose	0	28
Primidone	0	16
Sugammadex	0	110
Elinzanetant	0	1
Menthol, Borneol, Camphene, Menthone, Cineole, Beta Pinene, Alpha Pinene	0	1
Calcium Glycerophosphate, Ferric Ammonium Citrate, Manganese Glycerophosphate, Potassium Glycerophosphate, Sodium Glycerophosphate, Nicotinamide Bp...	0	1
Undecylenic Acid Monoethanolamide	0	1
Amezinium Metilsulfate	0	1
Foeniculi Dulcis Fructus Aetheroleum, Peppermint Oil, Salvia Officinalis Aetheroleum, Eucalyptus Oil, Juniper Oil, Rosemary Oil, Spruce Needle Oil	0	1
Olea Europaea L.	0	39
Ciclopirox Olamine	0	46
Darunavir	0	49
Lactic Acid Ph. Eur., Salicylic Acid Ph. Eur.	0	4
Atropa Bella-Donna D2, Calcium Carbonicum Hahnemanni D8, Matricaria Recutita D1, Plantago Major D3, Pulsatilla Pratensis D2	0	1
Hydralazine	0	1
Polymyxin B Sulfate, Oxytetracycline Hydrochloride	0	1
Soft Extract Of Schisandra Chinensis Fruit (2.0-5.0:1), Extraction Solvent: Ethanol 95 %, Soft Extract Of Eleutherococcus Senticosus Root (17-30:1)...	0	1
Dry Extract Of Marshmallow Root (Der 7-9:1), Extraction Solvent Water	0	1
Malva Arborea E Floribus W 5% (Hab, Vs. 12g Mit Raffiniertem Erdnussöl), Sambucus Nigra Ex Umbella W 5% (Hab, Vs. 12g Mit Raffiniertem Erdnussöl), ...	0	1
Bryonia D4, Ledum Palustre D4, Arnica Dil. D4, Acidum Sulfuricum D6, Argentum Metallicum D12, Causticum Hahnemanni D12	0	1
Rutoside, Coumarin, Melilotus Indicus	0	1
Tocopheryl Acetate	0	2
Alfuzosin Hydrochloride	0	96
Fenoterol Hydrobromide, Ipratropium Bromide Monohydrate	0	11
Neomycin, Desonide	0	1
Chenopodium Album Pollen Extract	0	1
Arsenicum Album Dil. D6, Cadmium Sulfuricum Dil. D8, Atropinum Sulfuricum D6, Kalium Bichromicum D6, Argentum Nitricum Dil. D6, Acidum Nitricum Dil...	0	1
Crataegus Mother Tincture, Camphora Dil. D1	0	2
Harpagophytum Procumbens Dil. D3	0	1
Phleum Pratense Pollen, Poa Pratensis Pollen, Lolium Perenne Pollen, Secale Cereale Pollen, Alnus Glutinosa Pollen, Arrhenatherum Elatius Pollen, H...	0	1
Sodium Chloride, Glucose Monohydrate, Sodium Acetate Trihydrate	0	2
Dried Yeast From Saccharomyces Cerevisiae, Retinol, L-Cystine, Precipitated Sulphur	0	1
Lycopodium Clavatum Dil D 6, Magnesium Chloratum Dil. D 4, Aluminium Oxydatum D12, Strychnos Nux-Vomica D12, Bryonia Dil. D4, Sulfur Dil. D12, Natr...	0	1
Kalium Iodatum Dil. D 3, Aralia Racemosa D3, Ammi Visnaga D3, Cephaelis Ipecacuanha D5, Lobelia Inflata Dil. D4, Drosera Dil. D3, Laurocerasus Dil....	0	1
Ren Suis D10, Ren Suis D200, Ren Suis D30	0	1
Thiamine Hydrochloride, Cyanocobalamin, Pyridoxine Hydrochloride, Lidocaine Hydrochloride	0	6
Acidum Hydrochloricum Dil. D 12, Aesculus Hippocastanum Dil. D 2, Carbo Animalis Dil. D 10, Collinsonia Canadensis Dil D 3, Krameria Triandra Dil. ...	0	1
Etidronate Disodium	0	2
Morphine Hydrochloride Trihydrate	0	42
Causticum Hahnemanni Dil. D30, Causticum Hahnemanni Dil. D12, Causticum Hahnemanni D200	0	1
Viscum Album Quercus Ex Herba Recente Col. D6	0	1
Aprepitant	0	39
Glucose, Anhydrous, Potassium Chloride, Sodium Chloride	0	4
Pegzilarginase	0	1
Semecarpus Anacardium Trit. D 4, Leonurus Cardiaca Trit. D1, Acidum Arsenicosum Trit D5, Centaurium Erythraea E Planta Tota Recente Trit D1, Strych...	0	1
Colchicine	0	85
Dinoprostone	0	12
Linseed, Rhamnus Frangula Cortex, Sennae Folium, Sennoside B	0	1
Benzalkonium Chloride, Methylcellulose	0	1
Inosine, Dimepranol Acedoben	0	1
Pseudoephedrine Hydrochloride, Ibuprofen Bp	0	2
Talc, Zinc Oxide	0	1
Eptifibatide	0	10
Metformin Embonate	0	1
Camphor, Levomenthol Ph. Eur., Eucalyptus Oil Ph. Eur., Turpentine Oil Ph. Eur.	0	1
Valine, Alanine, Arginine, Cysteine, Histidine, Isoleucine, Leucine, Lysine, Methionine, Phenylalanine, Proline, Serine, Taurine, Threonine, Tyrosi...	0	7
Amoxicillin Trihydrate, Clarithromycin, Omeprazole	0	1
Furosemide Xantinol, Triamterene	0	1
Oxycodone	0	7
Cissus-Ossa Dil. D6 Aquos.	0	1
Dexamethasone Sodium Phosphate, Chloramphenicol	0	13
Lemon Grass Oil	0	1
Avena Sativa L., Triticum Aestivum, Dactylis Glomerata L., Phleum Pratense L., Anthoxanthum Odoratum L., Lolium Perenne L., Poa Pratensis L., Zea M...	0	18
Potassium Iodide, Sodium Iodide	0	3
Stannum Metallicum Dil. D8, Picrasma Excelsa, Quassia Amara Dil. 2, Carduus Marianus Ø, Berberis Vulgaris Dil. D2, Lophophytum Leandri Dil. D6, Che...	0	1
Echinacea Dil D4, Petroleum Rectificatum Dil. D4, Kalium Carbonicum D5	0	1
Medroxyprogesterone Acetate	0	19
Calcium Carbonate Ph. Eur.	0	1
Scrophularia Nodosa D4, Acidum Lacticum D4, Natrium Selenosum D5, Germanium Oxidatum D6, Naja Naja D6	0	1
Trimeperidine Hydrochloride	0	1
Aluminium Formate	0	1
Fludarabine Phosphate	0	31
Nitrous Oxide, Oxygen	0	25
Chloroxylenol	0	10
Cyclophosphamide, Cyclophosphamide Monohydrate	0	1
Ascorbic Acid, Ergocalciferol, Alphatocopherol Acetate, Vitamin A Concentrate (Oily Form), Synthetic	0	1
Herpes Zoster Nosode D12, Herpes Zoster Nosode D200, Herpes Zoster Nosode D30	0	1
Pirlindole Hydrochloride	0	1
