Department_Name	Admission_Year	KEN_Code	Insurance_Carrier	Total_Admissions	Total_Basic_Cost_KEN	Total_Additional_Charge	Total_Revenue
Ορθοπεδικό Τμήμα	2024	Α21Μ	Ιδιωτική Ασφάλεια	1	2187.00	0.000000	2786.27
Ορθοπεδικό Τμήμα	2024	Δ12Μ	ΤΥΠΕΤ	1	4871.00	0.000000	6012.02
Ορθοπεδικό Τμήμα	2024	Η44Μ	ΤΥΠΕΤ	1	1198.00	0.000000	1604.30
Ορθοπεδικό Τμήμα	2023	Λ01Χ	Ανασφάλιστος	1	1541.00	1155.750000	4341.69
Ορθοπεδικό Τμήμα	2023	Λ04Μ	Ανασφάλιστος	1	1807.00	0.000000	3295.55
Ορθοπεδικό Τμήμα	2023	Μ75Χ	ΕΦΚΑ	1	405.00	194805.000000	196210.29
Ορθοπεδικό Τμήμα	2023	Ν36Μ	ΤΥΠΕΤ	1	1486.00	495.333333	2448.34
Ουρολογικό Τμήμα	2025	S24Χ	ΤΥΠΕΤ	1	216.00	432.000000	1773.66
Ουρολογικό Τμήμα	2025	Μ19Μ	Ανασφάλιστος	1	2648.00	2206.666667	6076.17
Ουρολογικό Τμήμα	2024	Θ08Α	ΕΦΚΑ	1	952.00	2856.000000	4214.59
Ουρολογικό Τμήμα	2024	Θ21Α	Ανασφάλιστος	1	2599.00	0.000000	4385.93
Ουρολογικό Τμήμα	2024	Μ32Χ	ΟΠΑΔ	1	9147.00	533575.000000	543810.01
Ουρολογικό Τμήμα	2024	Π02Μ	ΤΥΠΕΤ	1	5741.00	267800.764705	274577.55
Ουρολογικό Τμήμα	2024	Τ04Α	Ιδιωτική Ασφάλεια	1	11997.00	256876.941176	270252.60
Ουρολογικό Τμήμα	2024	Υ04Χβ	Ιδιωτική Ασφάλεια	1	1605.00	4280.000000	6605.33
Ουρολογικό Τμήμα	2023	Α34Χ	ΤΥΠΕΤ	1	638.00	1488.666667	3239.79
Ουρολογικό Τμήμα	2023	Κ32Μ	ΟΠΑΔ	1	2062.00	257.750000	3445.52
Ουρολογικό Τμήμα	2023	Τ06Χ	ΕΦΚΑ	1	5062.00	0.000000	6069.13
Ουρολογικό Τμήμα	2023	Υ06Χ	ΤΥΠΕΤ	1	808.00	1616.000000	2913.26
Οφθαλμολογικό Τμήμα	2025	Λ01Χ	Ιδιωτική Ασφάλεια	1	1541.00	2696.750000	5335.77
Οφθαλμολογικό Τμήμα	2025	Ν02Χ	ΕΦΚΑ	1	3836.00	0.000000	5462.29
Οφθαλμολογικό Τμήμα	2024	Η41Χ	Ιδιωτική Ασφάλεια	1	872.00	436.000000	2272.18
Οφθαλμολογικό Τμήμα	2024	Μ60Α	ΕΦΚΑ	1	1720.00	0.000000	3236.34
Οφθαλμολογικό Τμήμα	2024	Ν02Μα	ΟΠΑΔ	1	7730.00	0.000000	9371.15
Οφθαλμολογικό Τμήμα	2024	Ω20Α	ΤΥΠΕΤ	1	557.00	2785.000000	4656.15
Οφθαλμολογικό Τμήμα	2023	Κ01Χ	ΤΥΠΕΤ	1	12420.00	33120.000000	46088.08
Οφθαλμολογικό Τμήμα	2023	Κ14Χ	ΤΥΠΕΤ	1	1277.00	722143.500000	725067.87
Οφθαλμολογικό Τμήμα	2023	Μ16Α	Ιδιωτική Ασφάλεια	1	1588.00	817820.000000	821132.96
Οφθαλμολογικό Τμήμα	2023	Μ72Χ	ΕΦΚΑ	1	490.00	1306.666667	2953.10
Οφθαλμολογικό Τμήμα	2023	Υ05Μ	ΟΠΑΔ	1	2848.00	0.000000	3392.88
Παθολογικό Τμήμα	2023	Β03Α	ΟΠΑΔ	1	771.00	2698.500000	5070.47
Παθολογικό Τμήμα	2023	Δ12Μ	Ανασφάλιστος	1	4871.00	0.000000	5470.54
Παθολογικό Τμήμα	2023	Ε08Χ	ΕΦΚΑ	1	3683.00	0.000000	4306.28
Παθολογικό Τμήμα	2023	Θ22Χ	Ιδιωτική Ασφάλεια	1	482.00	1687.000000	4064.63
Παθολογικό Τμήμα	2023	Μ68Α	ΟΠΑΔ	1	151.00	1208.000000	2976.64
Παθολογικό Τμήμα	2022	Γ12Μ	ΟΠΑΔ	1	3576.00	0.000000	5278.20
Παθολογικό Τμήμα	2022	Μ19Μ	ΟΠΑΔ	1	2648.00	1324.000000	4332.48
Παθολογικό Τμήμα	2022	Ο13Α	ΟΠΑΔ	1	336.00	2688.000000	4385.08
Παθολογικό Τμήμα	2022	Π27Α	ΟΠΑΔ	1	265.00	2120.000000	4238.94
Παθολογικό Τμήμα	2022	Φ40Α	Ανασφάλιστος	1	3649.00	1042.571429	5553.65
Παθολογικό Τμήμα	2021	Η43Μ	Ανασφάλιστος	1	1813.00	226.625000	3556.64
Παθολογικό Τμήμα	2021	Κ30Χ	ΟΠΑΔ	1	4470.00	2235.000000	7196.51
Παθολογικό Τμήμα	2021	Μ73Μ	ΕΦΚΑ	1	2249.00	0.000000	2721.03
Παθολογικό Τμήμα	2021	Ρ10Χ	ΕΦΚΑ	1	1473.00	420.857143	3323.13
Παθολογικό Τμήμα	2021	Ω02Μα	Ιδιωτική Ασφάλεια	1	5420.00	0.000000	5798.08
Πνευμονολογικό Τμήμα	2025	Ε09Γ	ΕΦΚΑ	1	10706.00	0.000000	11388.47
Πνευμονολογικό Τμήμα	2025	Χ20Α	ΟΠΑΔ	1	148.00	51800.000000	52864.78
Πνευμονολογικό Τμήμα	2024	Α29Χ	Ιδιωτική Ασφάλεια	1	397.00	794.000000	2306.59
Πνευμονολογικό Τμήμα	2024	Ε04Α	ΕΦΚΑ	1	30015.00	0.000000	31677.53
Πνευμονολογικό Τμήμα	2024	Η44Χ	ΕΦΚΑ	1	436.00	872.000000	1737.56
Πνευμονολογικό Τμήμα	2024	Μ64Χ	ΕΦΚΑ	1	1175.00	74612.500000	76763.80
Πνευμονολογικό Τμήμα	2024	Ν29Μ	ΟΠΑΔ	1	1230.00	205.000000	3199.14
Πνευμονολογικό Τμήμα	2024	Π43Α	ΕΦΚΑ	1	335.00	128807.500000	130674.55
Πνευμονολογικό Τμήμα	2023	Η05Μ	Ανασφάλιστος	1	4533.00	0.000000	5521.78
Πνευμονολογικό Τμήμα	2023	Μ09Μ	ΤΥΠΕΤ	1	14720.00	0.000000	16272.03
Πνευμονολογικό Τμήμα	2023	Ω12Α	Ανασφάλιστος	1	946.00	6622.000000	8424.66
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2025	Κ07Χ	ΕΦΚΑ	1	5354.00	3824.285714	10488.03
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2025	Κ14Μα	Ανασφάλιστος	1	3569.00	135622.000000	140044.83
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2024	Ε06Χβ	ΕΦΚΑ	1	15548.00	0.000000	16161.46
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2024	Μ71Μ	ΤΥΠΕΤ	1	1323.00	189.000000	2099.80
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2024	Π07Χ	ΕΦΚΑ	1	983.00	3932.000000	6614.30
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2024	Π12Χ	Ανασφάλιστος	1	967.00	2578.666667	4514.04
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2023	Κ31Μ	ΤΥΠΕΤ	1	2038.00	0.000000	3167.08
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2023	Μ03Χ	Ιδιωτική Ασφάλεια	1	6411.00	938753.571428	946843.66
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2023	Ν41Μ	ΕΦΚΑ	1	1837.00	0.000000	2670.10
Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2023	Ο21Μ	ΟΠΑΔ	1	934.00	560.400000	2810.52
Χειρουργικό Τμήμα	2022	Β20Χ	Ανασφάλιστος	1	413.00	1445.500000	3438.99
Χειρουργικό Τμήμα	2022	Η07Μ	ΟΠΑΔ	1	4299.00	0.000000	5791.73
Χειρουργικό Τμήμα	2022	Μ11Α	Ιδιωτική Ασφάλεια	1	4045.00	5056.250000	10558.97
Χειρουργικό Τμήμα	2022	Ν27Μβ	ΕΦΚΑ	1	1307.00	163.375000	2567.25
Χειρουργικό Τμήμα	2022	Ν31Χ	Ανασφάλιστος	1	280.00	980.000000	2214.11
Χειρουργικό Τμήμα	2022	Ο21Μ	Ιδιωτική Ασφάλεια	1	934.00	747.200000	2591.12
Χειρουργικό Τμήμα	2022	Σ03Μ	ΤΥΠΕΤ	1	6097.00	0.000000	7966.55
Χειρουργικό Τμήμα	2022	Υ06Χ	ΟΠΑΔ	1	808.00	2828.000000	5096.55
Χειρουργικό Τμήμα	2022	Φ04Μ	Ιδιωτική Ασφάλεια	1	8798.00	0.000000	9363.96
Χειρουργικό Τμήμα	2021	Κ05Χ	Ιδιωτική Ασφάλεια	1	7270.00	0.000000	8867.14
Ψυχιατρικό Τμήμα	2025	Δ20Α	ΕΦΚΑ	1	171.00	1368.000000	2078.61
Ψυχιατρικό Τμήμα	2025	Μ61Χ	ΕΦΚΑ	1	856.00	642.000000	2868.55
Ψυχιατρικό Τμήμα	2025	Ν41Μ	Ανασφάλιστος	1	1837.00	367.400000	3714.26
Ψυχιατρικό Τμήμα	2025	Ρ24Μβ	ΕΦΚΑ	1	1401.00	700.500000	3898.21
Ψυχιατρικό Τμήμα	2024	Α32Α	ΟΠΑΔ	1	846.00	0.000000	1715.05
Ψυχιατρικό Τμήμα	2024	Κ09Χ	ΕΦΚΑ	1	2386.00	3976.666667	7378.39
Ψυχιατρικό Τμήμα	2024	Υ02Μ	ΟΠΑΔ	1	3111.00	0.000000	4384.66
Ψυχιατρικό Τμήμα	2024	Φ02Μ	ΟΠΑΔ	1	9426.00	0.000000	10477.85
Ψυχιατρικό Τμήμα	2023	Ν41Χ	Ανασφάλιστος	1	693.00	267498.000000	269129.25
Ψυχιατρικό Τμήμα	2023	Π46Α	Ανασφάλιστος	1	327.00	180994.500000	182090.75
Ψυχιατρικό Τμήμα	2023	Ρ24Χ	Ιδιωτική Ασφάλεια	1	623.00	1869.000000	3073.96
ΩΡΛ Τμήμα	2025	Κ16Μ	Ανασφάλιστος	1	1531.00	207705.666667	210485.74
ΩΡΛ Τμήμα	2025	Μ23Α	Ιδιωτική Ασφάλεια	1	661.00	210859.000000	212333.76
ΩΡΛ Τμήμα	2025	Τ27Χ	ΕΦΚΑ	1	428.00	428.000000	1271.20
ΩΡΛ Τμήμα	2024	Δ25Μ	ΟΠΑΔ	1	1105.00	0.000000	2383.61
ΩΡΛ Τμήμα	2024	Θ05Μ	ΤΥΠΕΤ	1	2587.00	211810.625000	215454.55
ΩΡΛ Τμήμα	2024	Κ37Μ	Ανασφάλιστος	1	1198.00	149750.000000	151894.03
ΩΡΛ Τμήμα	2024	Φ11Χ	ΟΠΑΔ	1	1883.00	0.000000	3240.48
ΩΡΛ Τμήμα	2024	Ω02Μα	Ιδιωτική Ασφάλεια	1	5420.00	0.000000	6668.07
ΩΡΛ Τμήμα	2023	Η05Χ	Ανασφάλιστος	1	1393.00	370886.250000	372733.05
ΩΡΛ Τμήμα	2023	Κ09Μα	ΕΦΚΑ	1	6413.00	0.000000	7518.34
ΩΡΛ Τμήμα	2023	Κ19Α	ΤΥΠΕΤ	1	3194.00	1025273.999999	1029203.45
ΩΡΛ Τμήμα	2023	Κ42Μ	ΤΥΠΕΤ	1	2054.00	240523.400000	244335.97
ΩΡΛ Τμήμα	2023	Μ07Α	ΟΠΑΔ	1	5235.00	0.000000	6594.01
